31,Sage - Fresh,convallis nunc proin at turpis a,COCHES,DEFECTUOSO,true,47632.22
32,Bread Base - Italian,vestibulum sed magna at nunc commodo placerat praesent blandit,INMUEBLES,MALO,true,84170.15
33,Tomato Puree,ligula sit amet eleifend pede libero quis orci nullam molestie,INMUEBLES,MUY_USADO,true,33776.51
34,Pastry - Chocolate Chip Muffin,nec condimentum neque sapien placerat ante nulla,INFORMÁTICA,BUENO,false,89501.11
35,Appetizer - Mango Chevre,fusce consequat nulla nisl nunc nisl duis bibendum,ANTIGUEDADES,MUY_USADO,false,57509.27
36,"Asparagus - White Fresh",eget tempus vel pede morbi porttitor,INMUEBLES,DEFECTUOSO,true,8905.09
37,Wasabi Paste,rutrum rutrum neque aenean auctor gravida sem,ANTIGUEDADES,MALO,true,82702.2
38,Appetizer - Tarragon Chicken,convallis morbi odio odio elementum,BICICLETAS,MUY_USADO,false,10336.97
39,Squid - U 5,a libero nam dui proin leo odio porttitor id consequat,ANTIGUEDADES,MALO,false,33225.8
40,Spinach - Baby,accumsan felis ut at dolor quis odio consequat varius integer,COCHES,BUENO,false,70391.63
41,Tofu - Firm,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,BICICLETAS,MUY_USADO,true,12950.16
42,Flavouring - Orange,curabitur at ipsum ac tellus semper interdum mauris,COCHES,MUY_USADO,true,97865.57
43,Wine - Cabernet Sauvignon,ipsum praesent blandit lacinia erat,TELEFONÍA,MALO,false,28984.15
44,Mussels - Cultivated,sapien quis libero nullam sit,INMUEBLES,PERFECTO,false,94711.73
45,Cheese - Pied De Vents,a pede posuere nonummy integer non velit,TELEFONÍA,DEFECTUOSO,true,24182.15
46,Pastry - French Mini Assorted,etiam faucibus cursus urna ut tellus nulla ut erat id,MUEBLES,BUENO,true,53272.02
47,Fruit Salad Deluxe,magna at nunc commodo placerat praesent blandit nam,ROPA,MALO,false,73822.59
48,Trueblue - Blueberry Cranberry,fermentum donec ut mauris eget,MUEBLES,POCO_USO,false,46729.24
49,"Beef - Tenderlion Center Cut",odio condimentum id luctus nec molestie,COCHES,PERFECTO,false,67917.52
50,The Pop Shoppe - Grape,vulputate vitae nisl aenean lectus pellentesque,BICICLETAS,PERFECTO,true,53830.66
